#name	rank	LBI
EPI742077_|_2015-12-14_|_A/Kyrgyzstan/71/2015	1	65.38325949348818
EPI762092_|_2016-02-15_|_A/Netherlands/1213/2016	2	65.38325949348818
EPI823576_|_2016-02-16_|_A/Kazakhstan/4693/2016	3	18.2045076512846
EPI733860_|_2015-09-22_|_A/Stockholm/41/2015	4	18.2045076512846
EPI791273_|_2016-02-02_|_A/Finland/602/2016	5	18.2045076512846
EPI834693_|_2016-02-18_|_A/Montenegro/97/2016	6	18.2045076512846
EPI691170_|_2015-12-02_|_A/California/116/2015	7	18.2045076512846
EPI774716_|_2016-01-19_|_A/Lithuania/2020/2016	8	18.2045076512846
EPI696182_|_2015-12-01_|_A/IIV-Moscow/159/2015	9	18.2045076512846
EPI816958_|_2016-01-26_|_A/St.-Petersburg/145/2016	10	18.2045076512846
EPI694839_|_2015-12-05_|_A/Sachsen-Anhalt/91/2015	11	18.2045076512846
EPI697889_|_2015-12-27_|_A/Maryland/24/2015	12	18.2045076512846
EPI676457_|_2015-10-31_|_A/Illinois/17/2015	13	18.2045076512846
EPI694805_|_2015-11-13_|_A/Austria/889649/2015	14	18.2045076512846
EPI749031_|_2016-01-14_|_A/Turkey/TR-16/2016	15	18.2045076512846
EPI699904_|_2015-11-26_|_A/FUKUSHIMA/80/2015	16	18.2045076512846
EPI773922_|_2016-02-01_|_A/Slovenia/460/2016	17	18.2045076512846
EPI773205_|_2016-01-27_|_A/Bulgaria/132/2016	18	18.2045076512846
EPI732781_|_2016-02-23_|_A/West_Virginia/01/2016	19	18.2045076512846
EPI748738_|_2015-12-31_|_A/Adana/24/2016	20	18.2045076512846
EPI733800_|_2015-12-12_|_A/Kazakhstan/4222/2015	21	18.2045076512846
EPI706960_|_2015-12-28_|_A/Spain/112307/2015	22	18.2045076512846
EPI772299_|_2016-02-22_|_A/Texas/105/2016	23	18.2045076512846
EPI686772_|_2015-11-18_|_A/Stockholm/_57/2015	24	18.2045076512846
EPI693434_|_2015-09-23_|_A/Nepal/3431/2015	25	18.2045076512846
EPI772307_|_2016-02-29_|_A/Texas/106/2016	26	18.2045076512846
EPI759076_|_2016-02-12_|_A/Cyprus/F220/2016	27	18.2045076512846
EPI836399_|_2016-01-25_|_A/Saint-Petersburg/RII150/2016	28	18.2045076512846
EPI876918_|_2016-01-28_|_A/England/234/2016	29	18.2045076512846
EPI756356_|_2015-12-22_|_A/Costa_Rica/7886/2015	30	18.2045076512846
EPI733848_|_2015-11-16_|_A/Oman/6285/2015	31	18.2045076512846
EPI741758_|_2016-02-07_|_A/Rhode_Island/09/2016	32	18.2045076512846
EPI749092_|_2015-11-29_|_A/Ramallah/5R/2015	33	18.2045076512846
EPI678240_|_2015-12-06_|_A/Finland/553/2015	34	18.2045076512846
EPI706982_|_2015-12-05_|_A/Norway/2879/2015	35	18.2045076512846
EPI760775_|_2015-12-25_|_A/Ankara/2315/2015	36	18.2045076512846
EPI759249_|_2015-12-28_|_A/Alberta/RV0062/2016	37	18.2045076512846
EPI774730_|_2016-01-21_|_A/Lithuania/2217/2016	38	18.2045076512846
EPI877325_|_2016-02-04_|_A/England/384/2016	39	18.2045076512846
EPI774822_|_2016-01-29_|_A/Lithuania/3463/2016	40	18.2045076512846
EPI706876_|_2016-01-12_|_A/Athens/140/2016	41	18.2045076512846
EPI720570_|_2016-01-12_|_A/Oklahoma/01/2016	42	18.2045076512846
EPI773279_|_2016-02-22_|_A/Bulgaria/694/2016	43	18.2045076512846
EPI716114_|_2016-01-27_|_A/Virginia/05/2016	44	18.2045076512846
EPI788428_|_2016-01-22_|_A/Singapore/INFTT-16-0082/2016	45	18.2045076512846
EPI844153_|_2016-02-28_|_A/Nepal/417/2016	46	18.2045076512846
EPI827964_|_2016-01-09_|_A/Afghanistan/861/2016	47	18.2045076512846
EPI757249_|_2016-02-19_|_A/California/86/2016	48	18.2045076512846
EPI711174_|_2016-01-26_|_A/Athens.GR/639/2016	49	18.2045076512846
EPI699021_|_2016-01-18_|_A/Vrancea/190182/2016	50	18.2045076512846
EPI759617_|_2016-02-25_|_A/Pennsylvania/15/2016	51	18.2045076512846
EPI732163_|_2016-01-26_|_A/Colorado/09/2016	52	18.2045076512846
EPI877197_|_2016-02-05_|_A/England/447/2016	53	18.2045076512846
EPI741554_|_2016-01-26_|_A/Utah/08/2016	54	18.2045076512846
EPI706878_|_2016-01-10_|_A/Athens/67/2016	55	18.2045076512846
EPI687750_|_2015-11-10_|_A/Berlin/168/2015	56	18.2045076512846
EPI713824_|_2016-02-08_|_A/Bucuresti/191272/2016	57	18.2045076512846
EPI717178_|_2015-12-30_|_A/California/132/2015	58	18.2045076512846
EPI685563_|_2015-12-09_|_A/Wisconsin/91/2015	59	18.2045076512846
EPI773269_|_2016-02-17_|_A/Bulgaria/559/2016	60	18.2045076512846
EPI716328_|_2016-01-05_|_A/Nevada/02/2016	61	18.2045076512846
EPI756343_|_2016-01-11_|_A/Nebraska/02/2016	62	18.2045076512846
EPI680495_|_2015-12-01_|_A/Berlin/170/2015	63	18.2045076512846
EPI733816_|_2016-02-01_|_A/Netherlands/056/2016	64	18.2045076512846
EPI709975_|_2015-12-25_|_A/Jonkoping/1/2015	65	18.2045076512846
EPI748754_|_2016-01-04_|_A/Ankara/17/2016	66	18.2045076512846
EPI726125_|_2016-02-02_|_A/Maine/02/2016	67	18.2045076512846
EPI717106_|_2016-01-11_|_A/California/14/2016	68	18.2045076512846
EPI725651_|_2016-02-13_|_A/Texas/27/2016	69	18.2045076512846
EPI773261_|_2016-02-13_|_A/Bulgaria/505/2016	70	18.2045076512846
EPI742340_|_2016-01-11_|_A/Nebraska/02/2016	71	18.2045076512846
EPI732346_|_2016-02-15_|_A/Tennessee/14/2016	72	18.2045076512846
EPI773227_|_2016-02-05_|_A/Bulgaria/306/2016	73	18.2045076512846
EPI726932_|_2015-11-11_|_A/Singapore/GP1941/2015	74	18.2045076512846
EPI770775_|_2016-02-03_|_A/Jordan/10768/2016	75	18.2045076512846
EPI823538_|_2016-02-04_|_A/Estonia/98192/2016	76	18.2045076512846
EPI770171_|_2016-02-10_|_A/Montenegro/67/2016	77	18.2045076512846
